index,cluster,psnr_standard,psnr_optimized,bpp_standard,bpp_optimized,bpp_uncompressed,ssim_standard,ssim_optimized
870,3,42.74206484,46.96837995,0.671386719,0.685783386,8,0.983647022,0.992031583
871,3,42.77029512,46.74866833,0.672786713,0.685188293,8,0.982546459,0.991343934
872,3,43.00330772,46.83545489,0.652873993,0.66179657,8,0.982949117,0.99134767
873,3,43.81717088,47.92587751,0.570304871,0.569812775,8,0.980879975,0.992396387
874,3,42.46653946,46.53062439,0.703975677,0.715045929,8,0.982666599,0.991114917
875,3,42.04010176,45.7226418,0.805217743,0.809185028,8,0.979085468,0.989000795
876,3,43.42106808,46.96464197,0.629653931,0.635559082,8,0.983273663,0.990320682
877,3,43.67787872,47.1556508,0.617805481,0.617527008,8,0.983253181,0.990263665
878,3,42.09124277,45.92837602,0.79681778,0.803184509,8,0.979199379,0.989670112
879,3,43.49411192,47.05775038,0.626365662,0.623729706,8,0.980733895,0.990637364
880,3,43.52883691,47.25862717,0.613952637,0.611927032,8,0.979851177,0.991390407
881,7,43.51534171,45.7423453,0.612873077,0.601089478,8,0.979678725,0.989581325
882,3,42.1264407,45.90700797,0.777770996,0.791549683,8,0.980961467,0.989333658
883,3,42.79805982,46.17432009,0.709499359,0.711483002,8,0.981252507,0.988729873
884,3,44.07016142,47.7947643,0.570789337,0.570964813,8,0.984694415,0.991988937
885,3,43.81667389,47.66259742,0.587295532,0.588672638,8,0.981963356,0.991732777
886,3,42.30274321,45.82877871,0.779224396,0.7811203,8,0.979258002,0.988771083
887,3,42.6338584,46.37685475,0.734161377,0.742214203,8,0.981645204,0.990585052
888,3,42.91633542,46.65037854,0.686992645,0.69336319,8,0.981813811,0.990773276
889,3,42.99020206,46.72079912,0.678916931,0.687713623,8,0.982508355,0.991022101
890,3,41.40308994,44.98998176,0.894508362,0.90039444,8,0.976693112,0.986813044
891,3,42.84915572,46.47384071,0.685424805,0.692710876,8,0.981611144,0.990485168
892,3,39.61930155,41.26710691,1.113677979,1.317962646,8,0.976179636,0.983261953
893,7,42.47743323,43.14689136,0.679782867,0.760795593,8,0.98096658,0.983065257
894,3,43.73376122,44.89192113,0.525436401,0.616493225,8,0.981109043,0.983982256
895,3,40.50647871,41.89598327,0.707084656,0.871891022,8,0.964485129,0.972786702
896,3,38.68389371,39.93237418,0.864566803,1.027263641,8,0.977711424,0.982897082
897,1,42.28740491,42.27814779,0.824764252,0.80934906,8,0.982414611,0.981898686
898,5,42.06503746,43.52882543,0.76782608,0.925682068,8,0.979238215,0.983398027
899,3,43.00507849,44.24292981,0.726791382,0.834629059,8,0.980283249,0.985192235
900,3,42.27188844,43.67563906,0.844478607,0.973487854,8,0.98300354,0.987328167
901,3,42.93461452,44.36935001,0.723617554,0.834259033,8,0.979882446,0.985355769
902,3,41.99949301,43.86044162,0.755725861,0.880390167,8,0.958186175,0.986045597
903,3,42.47251865,44.63626332,0.660511017,0.755336761,8,0.946718546,0.990591546
904,3,40.37845565,42.03882227,1.034065247,1.206581116,8,0.978633766,0.983864653
905,3,42.16976697,43.8214743,0.750846863,0.862808228,8,0.988885233,0.991998737
906,7,41.54852809,42.23252223,0.841636658,0.93649292,8,0.978595153,0.980987262
907,7,45.54905645,46.20882422,0.46774292,0.520259857,8,0.982945934,0.984794875
908,7,42.21554501,42.6754318,0.841545105,0.914615631,8,0.97168702,0.97692508
909,5,40.33994632,42.07504621,1.048229218,1.256244659,8,0.976849041,0.984441933
910,3,41.18046572,44.83529207,0.91443634,0.9257164,8,0.975415121,0.986610672
911,3,40.83503088,44.64783759,0.964481354,0.977230072,8,0.974860105,0.986469544
912,3,40.92847222,44.66969004,0.962478638,0.974086761,8,0.974496359,0.986191065
913,3,40.73909419,44.52886022,0.986064911,0.999347687,8,0.973585148,0.985902055
914,3,40.89449897,44.59647179,0.968727112,0.977161407,8,0.973531528,0.985543705
915,1,40.06231129,40.82367906,1.160812378,1.093452454,8,0.970587678,0.973679809
916,1,40.1685721,40.92421809,1.154613495,1.089805603,8,0.97020684,0.973451609
917,1,40.38107499,41.08258724,1.122730255,1.052528381,8,0.96979294,0.972699124
918,5,41.031257,44.55099971,1.021030426,1.085887909,8,0.97649816,0.986079173
919,3,41.51875182,44.97159703,0.883495331,0.88627243,8,0.97347754,0.98471794
920,3,41.0113502,44.33346097,1.036445618,1.039012909,8,0.976212403,0.986156705
921,3,41.58527987,44.76566028,0.939697266,0.935390472,8,0.976717802,0.986261647
922,3,41.4941927,44.7353009,0.9438591,0.940483093,8,0.976180353,0.985915196
923,1,36.8489629,37.10824537,1.35276413,1.334293365,8,0.946048899,0.953728738
924,5,40.99150863,42.70286531,0.936832428,1.14157486,8,0.976634353,0.982281125
925,3,37.70807955,39.54525192,1.423732758,1.685951233,8,0.969264878,0.979511762
926,1,41.5727934,41.70584957,0.968395233,0.951129913,8,0.977465585,0.977293127
927,1,38.61126253,38.77607361,1.212173462,1.19260025,8,0.96105412,0.961617415
928,1,39.2820778,39.46281526,1.095726013,1.0756073,8,0.961802182,0.962468138
929,3,40.70584868,42.34390343,0.861297607,1.019443512,8,0.961074086,0.981873656
930,3,39.80607556,41.38336263,0.96811676,1.135593414,8,0.98025584,0.985006963
931,1,40.42214197,40.4751313,1.029251099,1.005241394,8,0.97206631,0.97137483
932,5,38.25872945,40.2865924,1.323638916,1.640163422,8,0.962439934,0.975227785
933,3,40.43493101,42.08448515,0.87676239,1.051872253,8,0.961033977,0.97941787
934,3,40.49868421,42.07711321,1.14307785,1.333377838,8,0.980888813,0.986484607
935,3,41.94833346,46.02467666,0.729305267,0.747646332,8,0.980178632,0.989847761
936,3,36.69531287,37.384999,0.818218231,1.071640015,8,0.903359944,0.915672684
937,3,40.76710549,44.57377118,0.988079071,1.00617981,8,0.974349729,0.985702743
938,1,40.13937135,40.87301123,1.167709351,1.099754333,8,0.968653532,0.97192483
939,1,40.63918162,41.4174801,1.083423615,1.013843536,8,0.970243205,0.973443264
940,1,40.73400166,41.44382073,1.070251465,1.001708984,8,0.970280177,0.973062297
941,0,38.41677772,39.17427253,1.232967377,1.451377869,8,0.965429133,0.969422401
942,1,38.5492382,38.70979542,1.200897217,1.216941833,8,0.963197424,0.964073617
